ANDERSON,57922,45273,15110,3955,162,19227,3.820480405,trump,-12649
ANDREWS,18610,18710,4943,850,70,5863,5.815294118,trump,100
ANGELINA,86395,86264,25076,9143,355,34574,2.742644646,trump,-131
ARANSAS,23830,23998,9239,2916,135,12290,3.168381344,trump,168
ARCHER,8560,8584,4300,446,50,4796,9.641255605,trump,24
ARMSTRONG,1848,1855,1035,75,2,1112,13.8,trump,7
ATASCOSA,48981,49261,12039,5876,203,18118,2.04884275,trump,280
AUSTIN,30167,30268,11447,2951,156,14554,3.87902406,trump,101
BAILEY,6904,6951,1434,409,17,1860,3.506112469,trump,47
BANDERA,20851,20956,10057,2505,153,12715,4.014770459,trump,105
BASTROP,97216,97465,20516,15474,675,36665,1.325836888,trump,249
BAYLOR,3465,3499,1494,183,25,1702,8.163934426,trump,34
BEE,31047,24144,6006,3288,126,9420,1.826642336,trump,-6903
BELL,370647,372484,67893,57014,489,125396,1.190812783,trump,1837
BEXAR,2009324,2017082,308618,448452,258,757328,0.688185135,biden,7758
BLANCO,11374,11428,5443,1911,87,7441,2.848246991,trump,54
BORDEN,631,634,397,16,3,416,24.8125,trump,3
BOSQUE,18235,18369,7469,1561,96,9126,4.784753363,trump,134
BOWIE,92893,91013,27116,10747,398,38261,2.523122732,trump,-1880
BRAZORIA,372031,366312,90433,62228,464,153125,1.453252555,trump,-5719
BRAZOS,233849,234191,47530,35349,371,83250,1.344592492,trump,342
BREWSTER,9546,9571,2461,2258,103,4822,1.089902569,trump,25
BRISCOE,1435,1439,639,78,8,725,8.192307692,trump,4
BROOKS,7076,7111,998,1470,16,2484,0.678911565,biden,35
BROWN,38095,38312,13698,2107,164,15969,6.501186521,trump,217
BURLESON,17642,17833,6743,1788,78,8609,3.771252796,trump,191
BURNET,49130,48924,18767,5639,311,24717,3.328072353,trump,-206
CALDWELL,45883,45108,8031,6672,270,14973,1.20368705,trump,-775
CALHOUN,20106,20239,5641,2148,67,7856,2.626163873,trump,133
CALLAHAN,13708,13763,6012,734,86,6832,8.190735695,trump,55
CAMERON,421017,422572,49032,64063,1079,114174,0.765371587,biden,1555
CAMP,12464,12526,3626,1394,40,5060,2.601147776,trump,62
CARSON,5807,5902,2779,297,46,3122,9.356902357,trump,95
CASS,28454,28677,11033,2795,99,13927,3.947406082,trump,223
CASTRO,7371,7408,1602,466,15,2083,3.43776824,trump,37
CHAMBERS,46571,46807,17353,3997,302,21652,4.34150613,trump,236
CHEROKEE,50412,49370,15101,4210,197,19508,3.586935867,trump,-1042
CHILDRESS,6664,5381,1943,310,26,2279,6.267741935,trump,-1283
CLAY,10218,10252,5069,614,61,5744,8.255700326,trump,34
COCHRAN,2547,2557,809,177,14,1000,4.570621469,trump,10
COKE,3285,3293,1586,178,15,1779,8.91011236,trump,8
COLEMAN,7684,7794,3641,451,32,4124,8.073170732,trump,110
COLLIN,1064465,1066341,252318,230945,279,483542,1.092545844,trump,1876
COLLINGSWORTH,2652,2684,1048,155,15,1218,6.761290323,trump,32
COLORADO,20557,20764,7472,2420,83,9975,3.087603306,trump,207
COMAL,161501,162378,62740,24826,221,87787,2.527189237,trump,877
COMANCHE,13594,13711,5177,853,56,6086,6.069167644,trump,117
CONCHO,3303,3329,1058,197,13,1268,5.370558376,trump,26
COOKE,41668,42008,15596,3210,190,18996,4.858566978,trump,340
CORYELL,83093,75972,15438,7565,490,23493,2.040713814,trump,-7121
COTTLE,1380,1388,540,113,9,662,4.778761062,trump,8
County,total_population,Adjusted Population,trump,biden,other, total_votes,trump_biden_ratio,winner,
CRANE,4675,4692,1247,241,15,1503,5.174273859,trump,17
CROCKETT,3098,3129,1220,344,10,1574,3.546511628,trump,31
CROSBY,5133,5152,1396,527,30,1953,2.648956357,trump,19
CULBERSON,2188,2194,415,438,11,864,0.947488584,biden,6
DALLAM,7115,7150,1389,197,23,1609,7.050761421,trump,35
DALLAS,2613539,2624733,307076,598576,562,906214,0.513010879,biden,11194
DAWSON,12456,11089,2951,808,30,3789,3.652227723,trump,-1367
DEAF SMITH,18583,18833,3294,1264,52,4610,2.606012658,trump,250
DELTA,5230,5269,2162,403,27,2592,5.364764268,trump,39
DENTON,906422,907872,222480,188695,282,411457,1.17904555,trump,1450
DEWITT,19824,18873,6567,1494,57,8118,4.395582329,trump,-951
DICKENS,1770,1784,853,130,5,988,6.561538462,trump,14
DIMMIT,8615,8663,1384,2264,18,3666,0.61130742,biden,48
DONLEY,3258,3289,1438,198,12,1648,7.262626263,trump,31
DUVAL,9831,9294,2443,2575,35,5053,0.948737864,biden,-537
EASTLAND,17725,18075,7237,983,73,8293,7.362156663,trump,350
ECTOR,165171,166468,32697,11367,527,44591,2.876484561,trump,1297
EDWARDS,1422,1432,893,168,5,1066,5.31547619,trump,10
EL PASO,865657,867147,84331,178126,84,262541,0.473434535,biden,1490
ELLIS,192455,193418,56717,27565,1211,85493,2.057573009,trump,963
ERATH,42545,42830,13684,2916,256,16856,4.692729767,trump,285
FALLS,16968,15209,4177,1899,57,6133,2.199578726,trump,-1759
FANNIN,35662,33912,12171,2655,181,15007,4.584180791,trump,-1750
FAYETTE,24435,24527,10171,2661,109,12941,3.822247275,trump,92
FISHER,3672,3685,1448,352,26,1826,4.113636364,trump,13
FLOYD,5402,5441,1584,438,17,2039,3.616438356,trump,39
FOARD,1095,1101,445,99,7,551,4.494949495,trump,6
FORT BEND,822779,820665,157718,195552,129,353399,0.806527164,biden,-2114
FRANKLIN,10359,10440,4161,804,44,5009,5.175373134,trump,81
FREESTONE,19435,18229,6991,1635,85,8711,4.275840979,trump,-1206
FRIO,18385,17106,2823,2422,34,5279,1.165565648,trump,-1279
GAINES,21598,21699,5355,576,65,5996,9.296875,trump,101
GALVESTON,350682,351643,93911,58842,395,153148,1.59598586,trump,961
GARZA,5816,5854,1413,231,9,1653,6.116883117,trump,38
GILLESPIE,26725,26861,12514,3176,160,15850,3.940176322,trump,136
GLASSCOCK,1116,1118,611,39,3,653,15.66666667,trump,2
GOLIAD,7012,7050,3085,877,33,3995,3.517673888,trump,38
GONZALES,19653,19925,5627,1948,73,7648,2.888603696,trump,272
GRAY,21227,20395,6840,829,113,7782,8.250904704,trump,-832
GRAYSON,135543,136796,44163,14506,805,59474,3.04446436,trump,1253
GREGG,124239,125572,32493,14796,693,47982,2.196066504,trump,1333
GRIMES,29268,26909,9432,2833,149,12414,3.329332863,trump,-2359
GUADALUPE,172706,173426,47553,28805,239,76597,1.650859226,trump,720
HALE,32522,31269,7177,2279,130,9586,3.14918824,trump,-1253
HALL,2825,2884,995,168,6,1169,5.922619048,trump,59
HAMILTON,8222,8308,3616,641,94,4351,5.641185647,trump,86
HANSFORD,5285,5305,1849,166,32,2047,11.13855422,trump,20
HARDEMAN,3549,3600,1330,241,9,1580,5.518672199,trump,51
HARDIN,56231,56501,23858,3474,303,27635,6.867587795,trump,270
HARRIS,4731145,4749324,700630,918193,68,1618891,0.763053084,biden,18179
