STUSAB,GEOID,GEOCODE,state,county,tract,total_population_2020,incarcerated_2020
TX,1400000US48001950100,48001950100,48,1,950100,4641,0
TX,1400000US48001950401,48001950401,48,1,950401,5782,5583
TX,1400000US48001950402,48001950402,48,1,950402,7115,7054
TX,1400000US48001950500,48001950500,48,1,950500,4479,0
TX,1400000US48001950600,48001950600,48,1,950600,6036,0
TX,1400000US48001950700,48001950700,48,1,950700,2564,153
TX,1400000US48001950800,48001950800,48,1,950800,5427,0
TX,1400000US48001950901,48001950901,48,1,950901,5281,554
TX,1400000US48001950902,48001950902,48,1,950902,5090,0
TX,1400000US48001951001,48001951001,48,1,951001,3618,0
TX,1400000US48001951002,48001951002,48,1,951002,3501,0
TX,1400000US48001951100,48001951100,48,1,951100,4388,0
TX,1400000US48003950100,48003950100,48,3,950100,2405,0
TX,1400000US48003950200,48003950200,48,3,950200,7710,0
TX,1400000US48003950300,48003950300,48,3,950300,4668,0
TX,1400000US48003950400,48003950400,48,3,950400,3827,0
TX,1400000US48005000102,48005000102,48,5,000102,4983,0
TX,1400000US48005000103,48005000103,48,5,000103,3440,0
TX,1400000US48005000104,48005000104,48,5,000104,2974,0
TX,1400000US48005000201,48005000201,48,5,000201,3138,0
TX,1400000US48005000202,48005000202,48,5,000202,3558,0
TX,1400000US48005000301,48005000301,48,5,000301,5413,0
TX,1400000US48005000302,48005000302,48,5,000302,5319,0
TX,1400000US48005000400,48005000400,48,5,000400,5361,0
TX,1400000US48005000500,48005000500,48,5,000500,3640,0
TX,1400000US48005000600,48005000600,48,5,000600,5836,171
TX,1400000US48005000700,48005000700,48,5,000700,3070,0
TX,1400000US48005000800,48005000800,48,5,000800,6165,0
TX,1400000US48005000902,48005000902,48,5,000902,3731,0
TX,1400000US48005000903,48005000903,48,5,000903,3245,0
TX,1400000US48005000904,48005000904,48,5,000904,3269,0
TX,1400000US48005001001,48005001001,48,5,001001,5043,933
TX,1400000US48005001002,48005001002,48,5,001002,4035,0
TX,1400000US48005001101,48005001101,48,5,001101,3396,0
TX,1400000US48005001102,48005001102,48,5,001102,3056,0
TX,1400000US48005001200,48005001200,48,5,001200,2594,0
TX,1400000US48005001300,48005001300,48,5,001300,5129,0
TX,1400000US48007950101,48007950101,48,7,950101,1300,0
TX,1400000US48007950102,48007950102,48,7,950102,3424,0
TX,1400000US48007950103,48007950103,48,7,950103,1257,0
TX,1400000US48007950200,48007950200,48,7,950200,1000,0
TX,1400000US48007950301,48007950301,48,7,950301,3734,197
TX,1400000US48007950302,48007950302,48,7,950302,2768,0
TX,1400000US48007950400,48007950400,48,7,950400,3349,0
TX,1400000US48007950501,48007950501,48,7,950501,2614,0
TX,1400000US48007950502,48007950502,48,7,950502,1761,0
TX,1400000US48007950503,48007950503,48,7,950503,2623,0
TX,1400000US48007990000,48007990000,48,7,990000,0,0
TX,1400000US48009020100,48009020100,48,9,020100,2897,0
TX,1400000US48009020200,48009020200,48,9,020200,2442,0
TX,1400000US48009020300,48009020300,48,9,020300,3221,26
TX,1400000US48011950100,48011950100,48,11,950100,1848,3
TX,1400000US48013960101,48013960101,48,13,960101,3474,0
TX,1400000US48013960102,48013960102,48,13,960102,3771,0
TX,1400000US48013960203,48013960203,48,13,960203,2906,0
TX,1400000US48013960204,48013960204,48,13,960204,4153,0
TX,1400000US48013960205,48013960205,48,13,960205,6022,0
TX,1400000US48013960206,48013960206,48,13,960206,5493,0
TX,1400000US48013960300,48013960300,48,13,960300,3135,0
TX,1400000US48013960401,48013960401,48,13,960401,2391,0
TX,1400000US48013960403,48013960403,48,13,960403,4747,0
TX,1400000US48013960404,48013960404,48,13,960404,4063,0
TX,1400000US48013960500,48013960500,48,13,960500,2533,0
TX,1400000US48013960601,48013960601,48,13,960601,2512,0
TX,1400000US48013960602,48013960602,48,13,960602,3781,0
TX,1400000US48015760100,48015760100,48,15,760100,2464,0
TX,1400000US48015760201,48015760201,48,15,760201,2078,0
TX,1400000US48015760202,48015760202,48,15,760202,4450,0
TX,1400000US48015760301,48015760301,48,15,760301,2773,0
TX,1400000US48015760302,48015760302,48,15,760302,5043,0
TX,1400000US48015760400,48015760400,48,15,760400,3505,0
TX,1400000US48015760501,48015760501,48,15,760501,4543,40
TX,1400000US48015760502,48015760502,48,15,760502,5311,0
TX,1400000US48017950101,48017950101,48,17,950101,4002,78
TX,1400000US48017950102,48017950102,48,17,950102,2902,0
TX,1400000US48019000101,48019000101,48,19,000101,4705,0
TX,1400000US48019000103,48019000103,48,19,000103,3913,62
TX,1400000US48019000104,48019000104,48,19,000104,1259,0
TX,1400000US48019000200,48019000200,48,19,000200,2394,0
TX,1400000US48019000301,48019000301,48,19,000301,3304,0
TX,1400000US48019000302,48019000302,48,19,000302,3067,0
TX,1400000US48019000400,48019000400,48,19,000400,2209,0
TX,1400000US48021950101,48021950101,48,21,950101,5554,0
TX,1400000US48021950102,48021950102,48,21,950102,6373,0
TX,1400000US48021950201,48021950201,48,21,950201,3299,0
TX,1400000US48021950202,48021950202,48,21,950202,5631,0
TX,1400000US48021950301,48021950301,48,21,950301,5236,0
TX,1400000US48021950302,48021950302,48,21,950302,4729,0
