ELECTION DATE-NAME,OFFICE NAME,CANDIDATE NAME,COUNTY NAME,TOTAL VOTES PER OFFICE PER COUNTY
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JOSEPH R. BIDEN/KAMALA D. HARRIS,ANDERSON,"3,955"
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,PRESIDENT R. BODDIE/ERIC C. STONEHAM,ANDERSON,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,BRIAN CARROLL/AMAR PATEL,ANDERSON,5
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TODD CELLA/TIM CELLA,ANDERSON,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,JESSE CUELLAR/JIMMY MONREAL,ANDERSON,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,HOWIE HAWKINS/ANGELA WALKER,ANDERSON,22
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,TOM HOEFLING/ANDY PRIOR,ANDERSON,1
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,"JO JORGENSEN/JEREMY ""SPIKE"" COHEN",ANDERSON,134
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,GLORIA LA RIVA/LEONARD PELTIER,ANDERSON,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ABRAM LOEB/JENNIFER JAIRALA,ANDERSON,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,ROBERT MORROW/ANNE BECKETT,ANDERSON,0
11/03/2020 - 2020 NOVEMBER 3RD GENERAL ELECTION,PRESIDENT/VICE-PRESIDENT,DONALD J. TRUMP/MICHAEL R. PENCE,ANDERSON,"15,110"
