County,total_population,Adjusted Population
ANDERSON,57922,45273
ANDREWS,18610,18710
ANGELINA,86395,86264
ARANSAS,23830,23998
ARCHER,8560,8584
ARMSTRONG,1848,1855
ATASCOSA,48981,49261
AUSTIN,30167,30268
BAILEY,6904,6951
BANDERA,20851,20956
BASTROP,97216,97465
BAYLOR,3465,3499
BEE,31047,24144
BELL,370647,372484
BEXAR,2009324,2017082
BLANCO,11374,11428
BORDEN,631,634
BOSQUE,18235,18369
BOWIE,92893,91013
BRAZORIA,372031,366312
BRAZOS,233849,234191
BREWSTER,9546,9571
BRISCOE,1435,1439
BROOKS,7076,7111
BROWN,38095,38312
BURLESON,17642,17833
BURNET,49130,48924
CALDWELL,45883,45108
CALHOUN,20106,20239
CALLAHAN,13708,13763
CAMERON,421017,422572
CAMP,12464,12526
CARSON,5807,5902
CASS,28454,28677
CASTRO,7371,7408
CHAMBERS,46571,46807
CHEROKEE,50412,49370
CHILDRESS,6664,5381
CLAY,10218,10252
COCHRAN,2547,2557
COKE,3285,3293
COLEMAN,7684,7794
COLLIN,1064465,1066341
COLLINGSWORTH,2652,2684
COLORADO,20557,20764
COMAL,161501,162378
COMANCHE,13594,13711
CONCHO,3303,3329
COOKE,41668,42008
CORYELL,83093,75972
COTTLE,1380,1388
CRANE,4675,4692
CROCKETT,3098,3129
CROSBY,5133,5152
CULBERSON,2188,2194
DALLAM,7115,7150
DALLAS,2613539,2624733
DAWSON,12456,11089
DEAF SMITH,18583,18833
DELTA,5230,5269
DENTON,906422,907872
DEWITT,19824,18873
DICKENS,1770,1784
DIMMIT,8615,8663
DONLEY,3258,3289
DUVAL,9831,9294
EASTLAND,17725,18075
ECTOR,165171,166468
EDWARDS,1422,1432
ELLIS,192455,193418
EL PASO,865657,867147
ERATH,42545,42830
FALLS,16968,15209
FANNIN,35662,33912
FAYETTE,24435,24527
FISHER,3672,3685
FLOYD,5402,5441
FOARD,1095,1101
FORT BEND,822779,820665
FRANKLIN,10359,10440
FREESTONE,19435,18229
FRIO,18385,17106
GAINES,21598,21699
GALVESTON,350682,351643
GARZA,5816,5854
GILLESPIE,26725,26861
GLASSCOCK,1116,1118
GOLIAD,7012,7050
GONZALES,19653,19925
GRAY,21227,20395
GRAYSON,135543,136796
GREGG,124239,125572
GRIMES,29268,26909
GUADALUPE,172706,173426
HALE,32522,31269
HALL,2825,2884
HAMILTON,8222,8308
HANSFORD,5285,5305
HARDEMAN,3549,3600
HARDIN,56231,56501
HARRIS,4731145,4749324
HARRISON,68839,69272
HARTLEY,5382,4625
HASKELL,5416,5486
HAYS,241067,241238
HEMPHILL,3382,3394
HENDERSON,82150,80701
HIDALGO,870781,871407
HILL,35874,36311
HOCKLEY,21537,21666
HOOD,61598,62178
HOPKINS,36787,37241
HOUSTON,22066,19877
HOWARD,34860,35109
HUDSPETH,3202,3218
HUNT,99956,100698
HUTCHINSON,20617,20732
IRION,1513,1517
JACK,8472,7517
JACKSON,14988,15207
JASPER,32980,32708
JEFF DAVIS,1996,2001
JEFFERSON,256526,252798
JIM HOGG,4838,4846
JIM WELLS,38891,39019
JOHNSON,179927,180229
JONES,19663,14958
KARNES,14710,12813
KAUFMAN,145310,145912
KENDALL,44279,44443
KENEDY,350,358
KENT,753,760
KERR,52598,53226
KIMBLE,4286,4338
KING,265,265
KINNEY,3129,3140
KLEBERG,31040,31298
KNOX,3353,3373
LAMAR,50088,50813
LAMB,13045,13158
LAMPASAS,21627,21762
LA SALLE,6664,6161
LAVACA,20337,20416
LEE,17478,17577
LEON,15719,15848
LIBERTY,91628,88027
LIMESTONE,22146,22413
LIPSCOMB,3059,3068
LIVE OAK,11335,11413
LLANO,21243,21360
LOVING,64,64
LUBBOCK,310639,311586
LYNN,5596,5628
MCCULLOCH,7630,7700
