Unit,Operator,Sex,Type,Region,City,County,Notes,
Allred,CID,Male,Prison,V,Iowa Park,Wichita,,
B. Moore,MTC,Male,Private Prison,Private,Overton,Rusk,,
Baten,CID,Male,Prison,V,Pampa,Gray,Closed/merged with Jordan Unit,
Bell,MTC,Male,Private Prison,Private,Cleveland,Liberty,,
Beto,CID,Male,Prison,II,Tennessee Colony,Anderson,,
Boyd,CID,Male,Prison,II,Teague,Freestone,,
Bridgeport,MTC,Male,Private Prison,Private,Bridgeport,Wise,,
Bradshaw,BH,Male,Private,,Rusk,Henderson,,
Briscoe,CID,Male,Prison,IV,Dilley,Frio,,
Byrd,CID,Male,Prison,I,Huntsville,Walker,,
C. Moore,CID,Male,Prison,II,Bonham,Fannin,,
C.T. Terrell,CID,Male,Prison,III,Rosharon,Brazoria,,
Chasefield Wilderness,,,,,Beeville,Bee,Not listed on unit directory but is listed on unit info page,
Clemens,CID,Male,Prison,III,Brazoria,Brazoria,,
Clements,CID,Male,Prison,V,Amarillo,Potter,,
Coffield,CID,Male,Prison,II,Tennessee Colony,Anderson,,
Cole,CID,Male,State Jail,II,Bonham,Fannin,,
Coleman,MTC,Female,Private Prison,Private,Lockhart,Caldwell,Old name: Lockhart Correctional Facility,
Connally,CID,Male,Prison,IV,Kenedy,Karnes,,
Cotulla,CID,Male,Prison,IV,Cotulla,La Salle,,
Crain,CID,Female,Prison,VI,Gatesville,Coryell,,
Dalhart,CID,Male,Prison,V,Dalhart,Hartley,,
Daniel,CID,Male,Prison,V,Snyder,Scurry,,
Diboll,MTC,Male,Private Prison,Private,Diboll,Angelina,,
Dominguez,CID,Male,State Jail,IV,San Antonio,Bexar,,
Duncan,CID,Male,Geriatric Facility,I,Diboll,Angelina,,
East Texas Treatment Facility,MTC,Co-Gender,Private Multi-Use,Private,Henderson,Rusk,,
Eastham,,,,,Lovelady,Houston,Renamed Wainwright,
Ellis,CID,Male,Prison,I,Huntsville,Walker,,
Estelle,CID,Male,Prison,I,Huntsville,Walker,,
Estes,MTC,Male,Private Prison,Private,Venus,Johnson,,
Ferguson,CID,Male,Prison,I,Midway,Madison,,
Formby,CID,Male,State Jail,V,Plainview,Hale,,
Fort Stockton,CID,Male,Prison,IV,Fort Stockton,Pecos,,
Garza East,,,,,Beeville,Bee,Shuttered in February 2020,
Garza West,CID,Male,Prison,IV,Beeville,Bee,,
Gist,CID,Male,State Jail,III,Beaumont,Jefferson,,
Glossbrenner,CID,Male,SAFPF,IV,San Diego,Duvall,,
Goodman,CID,Male,Prison/ISF,I,Jasper,Jasper,,
Goree,CID,Male,Prison,I,Huntsville,Walker,,
Gurney,,,,,Palestine,Anderson,Shuttered in December 2020,
Halbert,CID,Female,SAFPF,VI,Burnet,Burnet,,
Hamilton,CID,Male,Pre-Release,VI,Bryan,Brazos,,
Havins,CID,Male,Pre-Release,VI,Brownwood,Brown,,
Henley,CID,Female,State Jail,III,Dayton,Liberty,,
Hightower,CID,Male,Prison,III,Dayton,Liberty,,
Hilltop,CID,Female,Prison,VI,Gatesville,Coryell,,
Hobby,CID,Female,Prison,VI,Marlin,Falls,,
Hodge,CID,Male,DDP,II,Rusk,Cherokee,,
Holliday,CID,Male,Prison,I,Huntsville,Walker,,
Hospital Galveston,CID,Co-Gender,Medical,III,Galveston,Galveston,,
Hughes,CID,Male,Prison,VI,Gatesville,Coryell,,
Huntsville,CID,Male,Prison,I,Huntsville,Walker,,
Hutchins,CID,Male,State Jail,II,Dallas,Dallas,,
Jester I,,,,,Richmond,Fort Bend,Shuttered in February 2020,
Jester III,CID,Male,Prison,III,Richmond,Fort Bend,,
Jester IV,,,,,Richmond,Fort Bend,Renamed Scott Unit,Shuttered in December 2020
Johnston,CID,Male,SAFPF,II,Winnsboro,Wood,,
Jordan,CID,Male,Prison,V,Pampa,Gray,,
Kegans,CID,Male,State ISF,III,Houston,Harris,,
Kyle,MTC,Male,Private Prison,Private,Kyle,Hays,,
Le Blanc,CID,Male,Pre-Release,III,Beaumont,Jefferson,,
Lewis,CID,Male,Prison,I,Woodville,Tyler,,
Lindsey,MTC,Male,Private State Jail,Private,Jacksboro,Jack,,
Lockhart,,,,,Lockhart,Caldwell,,
Lockhart PPT,,,,,Lockhart,Caldwell,,
Lopez,CID,Male,State Jail,IV,Edinburg,Hidalgo,,
Luther,CID,Male,Prison,VI,Navasota,Grimes,,
